"","PLZ","day","ticket"
"1016",1407,"SA",3
"1017",1408,"SA",1
"1018",1409,"ME",2
"1019",1409,"VE",1
"1020",1409,"SA",3
"1021",1410,"ME",17
"1022",1410,"JE",25
"1023",1410,"VE",5
"1024",1410,"SA",12
"1025",1412,"ME",8
"1026",1412,"JE",21
"1027",1412,"VE",1
"1028",1412,"SA",6
"1029",1413,"ME",6
"1030",1413,"JE",15
"1031",1413,"VE",3
"1032",1415,"ME",6
"1033",1415,"JE",2
"1034",1415,"VE",9
"1035",1415,"SA",5
"1036",1416,"ME",14
"1037",1416,"JE",14
"1038",1416,"VE",15
"1039",1416,"SA",12
"1040",1417,"ME",16
"1041",1417,"JE",17
"1042",1417,"VE",5
"1043",1417,"SA",8
"1044",1418,"ME",25
"1045",1418,"JE",34
"1046",1418,"VE",21
"1047",1418,"SA",10
"1048",1420,"ME",11
"1049",1420,"JE",6
"1050",1420,"VE",6
"1051",1420,"SA",7
"1052",1421,"ME",11
"1053",1421,"VE",2
"1054",1421,"SA",2
"1055",1422,"ME",65
"1056",1422,"JE",32
"1057",1422,"VE",11
"1058",1422,"SA",34
"1059",1423,"ME",7
"1060",1423,"JE",13
"1061",1423,"VE",1
"1062",1423,"SA",15
"1063",1424,"ME",13
"1064",1424,"JE",14
"1065",1424,"VE",16
"1066",1424,"SA",5
"1067",1425,"ME",15
"1068",1425,"JE",5
"1069",1425,"VE",3
"1070",1426,"ME",18
"1071",1426,"JE",8
"1072",1426,"VE",4
"1073",1426,"SA",5
"1074",1427,"ME",15
"1075",1427,"JE",16
"1076",1427,"VE",5
"1077",1427,"SA",7
"1078",1428,"ME",9
"1079",1428,"JE",2
"1080",1428,"VE",4
"1081",1428,"SA",7
"1082",1429,"ME",7
"1083",1429,"JE",6
"1084",1429,"VE",2
"1085",1429,"SA",6
"1086",1430,"ME",9
"1087",1430,"JE",2
"1088",1430,"VE",4
"1089",1430,"SA",6
"1090",1431,"ME",8
"1091",1431,"JE",9
"1092",1431,"VE",4
"1093",1432,"ME",15
"1094",1432,"JE",13
"1095",1432,"VE",4
"1096",1432,"SA",4
"1097",1433,"ME",13
"1098",1433,"JE",12
"1099",1433,"VE",6
"1100",1433,"SA",20
"1101",1434,"ME",5
"1102",1434,"JE",7
"1103",1434,"VE",2
"1104",1435,"ME",3
"1105",1435,"VE",5
"1106",1436,"ME",22
"1107",1436,"JE",18
"1108",1436,"VE",11
"1109",1436,"SA",12
"1110",1437,"ME",4
"1111",1437,"SA",1
"1112",1438,"ME",7
"1113",1438,"JE",5
"1114",1438,"VE",3
"1115",1439,"ME",1
"1116",1439,"JE",4
"1117",1439,"VE",5
"1118",1439,"SA",4
"1119",1441,"ME",24
"1120",1441,"JE",7
"1121",1441,"VE",1
"1122",1441,"SA",4
"1123",1442,"ME",18
"1124",1442,"JE",5
"1125",1442,"VE",5
"1126",1442,"SA",11
"1127",1443,"ME",10
"1128",1443,"JE",13
"1129",1443,"VE",2
"1130",1443,"SA",8
"1131",1445,"ME",6
"1132",1445,"JE",2
"1133",1446,"ME",14
"1134",1446,"JE",6
"1135",1446,"VE",3
"1136",1446,"SA",7
"1137",1450,"ME",13
"1138",1450,"JE",18
"1139",1450,"VE",28
"1140",1450,"SA",20
